millis|gX|gY|gZ|aX|aY|aZ|UVIndex
1008068|4.74|18.33|-2.68|1.13|0.08|-0.00|15.15
1013084|-4.08|-0.54|-0.02|1.11|-0.02|0.01|18.77
1018099|0.59|12.21|0.97|1.03|-0.02|-0.05|17.25
1023115|-0.44|1.39|10.88|1.07|-0.21|-0.06|1.61
1028130|3.79|5.58|2.42|1.08|-0.15|-0.03|0.24
1033146|6.06|2.98|1.27|1.10|-0.11|0.06|0.15
1038161|3.18|1.92|-3.98|1.07|-0.06|-0.02|0.10
1043177|2.24|6.27|-5.89|1.09|0.07|-0.04|10.90
1048193|-6.37|4.85|-3.02|1.14|0.05|0.06|12.41
1053208|1.12|4.99|7.33|1.12|0.05|0.06|3.91
1058225|9.68|-8.49|-4.53|1.13|-0.01|0.16|1.52
1063240|-8.73|-1.29|6.79|1.07|0.15|0.03|3.03
1068256|7.21|2.38|-17.09|1.14|0.07|0.04|15.79
1073271|30.19|12.41|3.21|0.95|0.07|0.00|21.65
1078287|2.63|3.02|1.19|1.19|0.08|0.03|4.15
1083302|10.19|1.82|0.86|1.11|0.08|0.03|17.74
1088317|-56.74|1.99|-5.39|1.12|0.06|-0.02|20.23
1093334|5.36|0.90|2.98|1.02|0.08|0.06|19.65
1098348|20.85|3.95|2.15|1.06|0.08|0.08|16.37
1103364|24.88|0.79|1.47|1.14|0.09|0.11|17.64
1108379|-4.92|-1.66|3.16|1.13|0.07|0.07|3.86
1113396|-76.73|6.35|1.34|1.13|0.07|0.02|11.39
1118411|-4.06|6.02|-1.05|1.13|0.06|-0.02|3.71
1123427|-43.11|5.47|1.34|1.10|0.07|-0.04|3.52
1128442|10.65|6.60|2.52|1.09|0.10|0.01|14.61
1133458|19.74|5.24|3.63|1.12|0.07|0.00|4.30
1138473|26.41|6.59|1.41|1.07|0.07|-0.00|5.13
1143489|17.40|4.47|3.22|1.13|0.08|0.01|3.76
1148505|74.32|9.21|7.71|1.10|0.07|0.02|18.77
1153520|27.10|6.73|3.11|1.05|0.07|-0.03|4.06
1158535|-37.56|4.02|0.33|1.06|0.08|-0.00|9.04
1163550|4.22|2.99|1.47|1.14|0.08|0.01|3.76
1168567|11.98|6.24|2.76|1.16|0.07|-0.02|3.71
1173583|-39.44|2.21|-0.30|1.09|0.08|-0.00|3.86
1178599|-36.05|5.67|-1.03|1.13|0.06|0.00|13.69
1183614|-8.02|-2.17|6.97|1.14|0.08|0.05|4.45
1188630|-10.75|7.32|3.89|1.09|0.08|0.04|4.01
1193645|9.63|1.38|-0.77|1.13|0.07|0.04|4.01
1198660|22.63|4.06|2.99|1.07|0.08|0.02|3.81
1203676|30.80|8.02|5.05|1.14|0.08|0.01|3.81
1208691|-32.75|-1.44|0.96|1.13|0.07|0.08|3.96
1213707|-12.07|2.95|1.60|1.06|0.07|0.05|23.17
1218722|-33.01|1.95|0.61|1.14|0.06|0.07|17.40
1223743|6.30|4.27|-0.64|1.09|0.07|0.05|4.40
1228759|19.21|4.89|2.01|1.09|0.07|0.05|3.96
1233774|15.70|2.36|-1.76|1.11|0.07|0.07|3.91
1238790|26.58|3.56|2.87|1.09|0.07|0.07|3.96
1243804|-16.06|2.72|1.65|1.11|0.08|0.07|4.01
1248820|76.04|3.92|3.25|1.14|0.07|0.10|3.96
1253835|32.16|6.18|0.69|1.08|0.07|0.05|4.01
1258851|14.85|2.89|1.07|1.14|0.06|0.06|4.01
1263866|10.86|3.64|-0.51|1.07|0.07|0.06|12.17
1268882|5.67|2.37|1.64|1.12|0.06|0.06|11.19
1273897|-23.73|0.33|1.77|1.11|0.08|0.09|4.35
1278914|-38.66|1.71|0.13|1.14|0.06|0.08|17.30
1283930|-5.79|4.16|-1.05|1.09|0.08|0.06|23.31
1288945|9.32|0.11|3.05|1.13|0.07|0.07|4.40
1293961|19.16|7.30|0.01|1.14|0.06|-0.00|4.11
1298976|35.50|-1.15|2.14|1.14|0.06|0.12|3.96
1303991|-6.22|5.05|1.97|1.09|0.09|0.02|20.23
1309006|11.07|-0.79|1.96|1.12|0.08|0.04|22.63
1314022|-13.01|7.48|2.95|1.12|0.11|0.03|15.40
1319037|-39.70|3.42|-1.39|1.10|0.06|0.01|7.62
1324053|-28.71|1.96|-1.15|1.07|0.07|0.02|19.11
1329069|-6.00|3.18|2.74|1.11|0.07|-0.01|11.24
1334085|25.51|4.34|2.55|1.07|0.08|-0.01|4.30
1339101|4.04|4.54|-0.08|1.13|0.08|-0.01|4.45
1344115|-3.77|5.34|2.38|1.10|0.07|-0.01|4.15
1349131|-18.18|4.05|-0.16|1.15|0.07|0.01|4.06
1354146|-37.48|4.89|-1.89|1.10|0.06|0.01|4.74
1359162|-3.35|7.36|4.25|1.17|0.07|-0.01|16.96
1364177|-5.56|4.37|0.71|1.14|0.07|0.01|4.25
1369193|-36.71|6.39|1.47|1.02|0.07|0.01|11.19
1374209|-94.51|3.08|-5.44|1.15|0.04|0.01|4.20
1379223|-15.29|5.80|1.92|1.11|0.08|0.03|5.13
1384239|18.85|4.53|3.30|1.06|0.08|-0.02|6.74
1389255|11.72|3.15|2.26|1.13|0.06|-0.01|4.20
1394271|-3.18|2.44|0.63|1.10|0.07|-0.01|4.25
1399286|-3.21|4.59|1.05|1.13|0.08|-0.01|4.25
1404302|7.17|3.69|3.34|1.09|0.08|-0.00|4.30
1409317|-7.44|3.33|0.50|1.11|0.07|-0.03|4.45
1414332|9.64|6.36|2.40|1.19|0.07|-0.01|4.74
1419347|24.51|2.74|1.57|1.10|0.07|0.03|4.35
1424363|3.65|6.60|2.78|1.10|0.10|0.01|4.35
1429379|-29.16|2.54|-1.62|1.15|0.07|0.02|4.25
1434394|-2.32|2.37|0.79|1.12|0.08|0.06|4.45
1439410|62.08|3.29|0.15|1.08|0.06|0.08|4.30
1444426|102.31|0.24|5.63|1.14|0.05|0.11|16.86
1449441|18.64|8.93|3.80|1.05|0.08|0.02|16.42
1454456|-40.69|10.82|-1.28|1.12|0.05|0.01|16.67
1459472|31.37|5.89|1.66|1.10|0.07|-0.00|4.55
1464487|-17.29|2.54|-0.04|1.12|0.08|0.01|4.35
1469503|15.18|4.44|3.11|1.12|0.07|-0.01|4.40
1474519|13.45|3.30|2.65|1.12|0.07|0.01|4.40
1479534|-1.05|5.97|2.17|1.15|0.07|-0.01|4.40
1484549|-13.17|3.88|1.78|1.11|0.07|0.02|20.14
1489564|-35.90|6.82|-2.30|1.11|0.06|0.01|5.18
1494580|-68.61|9.05|-2.50|1.14|0.08|0.00|15.20
1499596|-39.44|7.56|-1.17|1.11|0.07|-0.02|4.50
1504612|-2.50|5.83|1.38|1.12|0.09|-0.02|22.34
1509627|-26.96|3.18|-1.95|1.09|0.07|0.01|24.24
1514643|-8.80|3.59|1.24|1.13|0.07|0.01|25.22
1519659|-2.11|4.50|1.27|1.13|0.07|-0.00|19.11
1524674|-7.43|3.78|1.73|1.10|0.07|-0.01|4.94
1529689|-8.24|4.20|0.63|1.09|0.07|-0.01|4.45
1534704|-15.16|5.54|0.60|1.16|0.07|-0.01|4.50
1539720|-11.60|-0.37|-0.94|1.09|0.07|0.04|4.69
1544735|23.97|2.41|4.89|1.16|0.07|0.07|26.00
1549751|-51.02|-2.11|0.27|1.16|0.07|0.10|24.54
1554767|41.11|6.57|4.61|1.13|0.09|0.01|4.74
1559783|-62.77|7.34|-4.04|1.13|0.07|0.01|5.38
1564798|55.31|7.60|8.85|1.15|0.08|0.01|4.74
1569813|-23.69|4.88|-2.01|1.15|0.06|0.01|5.72
1574829|-50.37|4.81|-1.98|1.04|0.07|-0.01|5.67
1579844|14.91|6.34|1.79|1.09|0.08|-0.01|4.59
1584860|-32.76|3.08|-1.53|1.13|0.08|0.01|4.59
1589875|-2.23|3.78|0.86|1.13|0.07|-0.00|4.59
1594891|16.57|5.66|0.91|1.13|0.08|0.01|4.50
1599906|47.07|8.93|4.37|1.13|0.08|0.01|26.54
1604921|61.08|9.11|5.35|1.12|0.06|-0.01|5.03
1609937|54.07|13.80|7.57|1.11|0.07|-0.02|19.94
1614953|17.92|4.55|3.31|1.08|0.06|-0.03|4.69
1619969|-25.61|3.62|-4.93|1.01|0.07|0.02|4.50
1624984|-46.61|5.30|-1.15|1.14|0.05|-0.03|21.51
1630000|-23.11|5.37|-0.25|1.10|0.07|-0.02|22.14
1635015|-23.76|1.79|-2.46|1.10|0.07|0.01|8.60
1640031|-43.10|4.16|-0.07|1.13|0.07|-0.00|4.79
1645046|-19.35|4.06|-0.98|1.15|0.08|0.02|4.64
1650062|-5.87|3.36|3.85|1.04|0.06|0.02|4.69
1655076|-9.43|3.99|-0.22|1.11|0.06|-0.01|5.03
1660092|-4.34|6.01|2.31|1.16|0.06|-0.01|8.85
1665108|-38.11|4.22|-1.29|1.14|0.07|0.01|12.27
1670124|-10.96|3.85|-1.54|1.10|0.07|0.03|4.79
1675140|-30.95|-0.95|1.19|1.13|0.08|0.11|4.94
1680155|51.32|5.94|-0.46|1.10|0.08|0.08|18.96
1685171|52.34|0.81|6.08|1.12|0.08|0.10|15.30
1690186|39.22|0.31|5.82|1.14|0.07|0.05|11.88
1695202|4.60|2.21|1.73|1.08|0.07|0.02|11.14
1700216|-32.50|0.83|0.16|1.14|0.07|0.03|5.08
1705232|41.34|1.74|6.24|1.11|0.09|0.04|4.69
1710247|16.49|7.31|2.00|1.12|0.07|-0.04|4.74
1715263|-19.89|6.44|0.98|1.12|0.07|0.00|15.10
1720280|26.42|4.56|4.03|1.09|0.07|-0.01|5.67
1725295|32.88|5.89|3.87|1.14|0.08|0.00|4.64
1730310|-17.25|2.53|0.30|1.13|0.08|0.01|4.59
1735337|-31.55|5.85|1.23|1.12|0.08|0.01|4.69
1740353|-39.60|4.53|-3.34|1.15|0.06|0.02|6.65
1745369|-58.39|8.30|-1.02|1.14|0.08|0.00|5.18
1750384|-10.47|9.14|-1.08|1.15|0.07|-0.03|18.77
1755400|3.36|3.98|2.70|1.11|0.08|-0.00|6.06
1760415|-27.64|5.21|1.54|1.06|0.06|-0.01|4.69
1765431|-13.29|6.40|-0.48|1.14|0.08|-0.00|22.19
1770446|-12.60|2.12|0.20|1.11|0.09|0.03|5.47
1775463|26.05|5.95|4.99|1.05|0.07|-0.04|6.55
1780478|6.84|7.02|-0.66|1.17|0.08|-0.01|22.83
1785494|3.47|6.06|0.08|1.09|0.07|0.04|28.35
1790510|15.20|5.42|5.47|1.02|0.08|0.06|24.93
1795525|-20.53|2.63|-0.08|1.11|0.08|0.08|27.32
1800541|45.27|3.53|1.73|1.12|0.08|0.06|26.54
1805556|-10.45|3.60|2.73|1.13|0.08|0.06|15.98
1810571|-21.17|-0.34|-0.66|1.12|0.07|0.07|11.58
1815587|-30.46|1.77|1.59|1.11|0.07|0.05|4.84
1820602|-6.13|3.43|1.92|1.12|0.07|0.07|24.19
1825617|-2.79|3.64|1.82|1.08|0.07|0.06|28.93
1830635|5.08|6.18|1.53|1.10|0.08|0.06|28.45
1835650|-0.57|2.83|1.01|1.15|0.08|0.06|28.89
1840665|-32.18|-0.79|0.07|1.13|0.08|0.07|8.26
1845681|33.95|3.33|4.56|1.06|0.08|0.08|5.96
1850696|-3.05|1.15|2.84|1.18|0.08|0.07|5.57
1855712|-1.10|6.41|2.34|1.15|0.08|0.03|22.73
1860727|-8.70|3.47|4.47|1.01|0.06|-0.01|26.88
1865743|-15.27|3.83|0.58|1.13|0.06|-0.02|19.21
1870758|-22.92|5.74|1.64|1.12|0.07|0.00|4.84
1875774|-28.42|5.64|-0.06|1.13|0.08|0.00|4.94
1880790|-1.56|7.27|3.98|1.07|0.07|-0.01|25.46
1885806|1.55|4.89|-0.16|1.15|0.07|-0.01|5.47
1890822|10.20|5.29|3.47|1.13|0.08|0.02|4.89
1895837|-18.00|7.40|2.60|1.07|0.07|-0.02|20.09
1900853|-32.94|4.14|-1.82|1.15|0.07|0.02|5.67
1905868|-2.65|4.11|0.65|1.11|0.08|0.02|7.82
1910884|24.69|7.86|1.47|1.10|0.07|-0.05|28.49
1915899|9.42|9.34|1.81|1.13|0.07|-0.03|13.49
1920915|25.41|5.31|2.61|1.11|0.07|-0.01|4.84
1925931|0.36|4.64|1.02|1.08|0.07|-0.02|19.94
1930945|29.72|4.96|5.45|1.14|0.07|-0.01|26.69
1935961|58.56|7.89|5.26|1.13|0.07|0.00|21.75
1940978|24.35|4.35|5.12|1.13|0.06|0.00|4.99
1945994|15.43|7.69|3.11|1.09|0.08|-0.02|4.89
1951008|15.58|2.73|3.45|1.12|0.07|0.01|4.89
1956024|-30.75|5.98|-1.89|1.12|0.06|0.01|5.57
1961039|-35.15|3.41|-1.56|1.11|0.08|-0.00|7.33
1966055|-44.66|4.95|0.04|1.10|0.08|-0.00|4.99
1971070|-16.79|3.96|0.44|1.12|0.08|0.00|6.01
1976086|-28.23|5.03|-0.38|1.15|0.08|0.00|19.06
1981102|-39.62|5.62|-0.27|1.11|0.07|0.00|13.34
1986117|-45.02|7.00|-0.22|1.12|0.08|-0.01|5.03
1991133|-9.80|3.54|0.58|1.12|0.09|0.00|23.85
1996149|-13.16|5.52|1.44|1.11|0.08|-0.01|10.22
2001165|16.79|3.35|2.15|1.04|0.07|-0.01|4.89
2006180|8.66|4.12|2.45|1.16|0.08|0.00|4.69
2011196|39.98|6.28|1.96|1.10|0.07|0.01|6.45
2016211|22.34|6.54|0.27|1.12|0.08|-0.00|18.57
2021227|55.23|5.96|4.73|1.11|0.07|0.02|4.99
2026243|67.74|8.83|5.79|1.11|0.07|0.02|26.39
2031258|0.65|2.66|2.69|0.99|0.06|0.00|5.23
2036274|29.86|5.05|2.97|1.14|0.08|0.03|5.13
2041289|25.20|6.24|3.20|1.14|0.08|0.02|5.13
2046304|16.05|2.08|4.82|1.00|0.07|0.02|18.62
2051319|-8.37|7.26|0.44|1.13|0.06|-0.02|26.30
2056337|-48.44|3.86|-2.98|1.13|0.07|0.02|5.47
2061352|-26.13|5.48|2.24|1.13|0.06|-0.01|5.23
2066368|-23.73|0.25|-2.89|1.11|0.06|0.02|23.22
2071384|-3.99|10.84|-0.18|1.07|0.08|0.02|13.05
2076398|3.21|-2.76|3.14|1.14|0.07|0.06|21.46
2081414|-27.24|3.92|2.02|1.15|0.07|0.04|6.35
2086429|8.77|1.76|-0.62|1.09|0.07|0.05|4.94
2091445|-11.65|3.53|4.12|1.13|0.06|0.05|19.50
2096460|-37.00|3.18|0.74|1.13|0.08|0.05|28.64
2101476|22.95|1.63|1.52|1.08|0.07|0.07|22.34
2106491|29.63|2.64|0.37|1.16|0.08|0.05|6.70
2111512|39.41|3.30|2.18|1.11|0.07|0.05|5.08
2116527|0.69|2.70|2.94|1.11|0.08|0.07|27.96
2121542|1.01|3.94|-1.00|1.12|0.08|0.05|26.74
2126558|-3.90|3.82|1.18|1.10|0.07|0.05|5.28
2131573|22.65|2.96|1.16|1.15|0.07|0.06|4.99
2136589|-9.01|3.58|-0.90|1.09|0.07|0.05|5.03
2141603|-2.53|0.62|-0.56|1.10|0.07|0.07|28.64
